GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUEE001,AUUEE002,AUUEE003,NAME_M,AUUEM001,AUUEM002,AUUEM003
G0600750022801,2020-2024,CA,,,California,06,San Francisco County,075,,,022801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022801,,,06075022801,"Census Tract 228.01, San Francisco County, California",2017,841,1176,"Census Tract 228.01, San Francisco County, California",172,193,221
G0600750022802,2020-2024,CA,,,California,06,San Francisco County,075,,,022802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022802,,,06075022802,"Census Tract 228.02, San Francisco County, California",754,386,368,"Census Tract 228.02, San Francisco County, California",175,165,74
G0600750022803,2020-2024,CA,,,California,06,San Francisco County,075,,,022803,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022803,,,06075022803,"Census Tract 228.03, San Francisco County, California",1439,557,882,"Census Tract 228.03, San Francisco County, California",133,129,167
G0600750022901,2020-2024,CA,,,California,06,San Francisco County,075,,,022901,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022901,,,06075022901,"Census Tract 229.01, San Francisco County, California",1479,347,1132,"Census Tract 229.01, San Francisco County, California",148,144,148
G0600750022902,2020-2024,CA,,,California,06,San Francisco County,075,,,022902,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022902,,,06075022902,"Census Tract 229.02, San Francisco County, California",725,317,408,"Census Tract 229.02, San Francisco County, California",76,76,95
G0600750022903,2020-2024,CA,,,California,06,San Francisco County,075,,,022903,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022903,,,06075022903,"Census Tract 229.03, San Francisco County, California",1139,481,658,"Census Tract 229.03, San Francisco County, California",145,118,173
G0600750023001,2020-2024,CA,,,California,06,San Francisco County,075,,,023001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023001,,,06075023001,"Census Tract 230.01, San Francisco County, California",1271,864,407,"Census Tract 230.01, San Francisco County, California",122,148,150
G0600750023003,2020-2024,CA,,,California,06,San Francisco County,075,,,023003,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023003,,,06075023003,"Census Tract 230.03, San Francisco County, California",1195,976,219,"Census Tract 230.03, San Francisco County, California",119,139,98
G0600750023102,2020-2024,CA,,,California,06,San Francisco County,075,,,023102,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023102,,,06075023102,"Census Tract 231.02, San Francisco County, California",1114,426,688,"Census Tract 231.02, San Francisco County, California",141,118,177
G0600750023103,2020-2024,CA,,,California,06,San Francisco County,075,,,023103,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023103,,,06075023103,"Census Tract 231.03, San Francisco County, California",1550,47,1503,"Census Tract 231.03, San Francisco County, California",166,31,167
G0600750023200,2020-2024,CA,,,California,06,San Francisco County,075,,,023200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023200,,,06075023200,"Census Tract 232, San Francisco County, California",1143,705,438,"Census Tract 232, San Francisco County, California",192,169,137
G0600750023300,2020-2024,CA,,,California,06,San Francisco County,075,,,023300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023300,,,06075023300,"Census Tract 233, San Francisco County, California",1270,725,545,"Census Tract 233, San Francisco County, California",182,125,146
G0600750023400,2020-2024,CA,,,California,06,San Francisco County,075,,,023400,,,,,,,,,,,,,,,,,,,,,,,1400000US06075023400,,,06075023400,"Census Tract 234, San Francisco County, California",1136,514,622,"Census Tract 234, San Francisco County, California",188,173,201
G0600750025100,2020-2024,CA,,,California,06,San Francisco County,075,,,025100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025100,,,06075025100,"Census Tract 251, San Francisco County, California",1319,791,528,"Census Tract 251, San Francisco County, California",202,111,189
G0600750025200,2020-2024,CA,,,California,06,San Francisco County,075,,,025200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025200,,,06075025200,"Census Tract 252, San Francisco County, California",2477,1804,673,"Census Tract 252, San Francisco County, California",411,357,277
G0600750025300,2020-2024,CA,,,California,06,San Francisco County,075,,,025300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025300,,,06075025300,"Census Tract 253, San Francisco County, California",1753,889,864,"Census Tract 253, San Francisco County, California",133,107,162
G0600750025401,2020-2024,CA,,,California,06,San Francisco County,075,,,025401,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025401,,,06075025401,"Census Tract 254.01, San Francisco County, California",1329,762,567,"Census Tract 254.01, San Francisco County, California",141,154,126
