GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750020602,2020-2024,CA,,,California,06,San Francisco County,075,,,020602,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020602,,,06075020602,"Census Tract 206.02, San Francisco County, California",2379,1726,68,0,256,0,84,245,73,172,"Census Tract 206.02, San Francisco County, California",445,456,67,14,146,14,84,129,63,116
G0600750020701,2020-2024,CA,,,California,06,San Francisco County,075,,,020701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020701,,,06075020701,"Census Tract 207.01, San Francisco County, California",3357,1987,146,0,524,0,105,595,293,302,"Census Tract 207.01, San Francisco County, California",591,449,106,14,201,14,65,245,170,159
G0600750020702,2020-2024,CA,,,California,06,San Francisco County,075,,,020702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020702,,,06075020702,"Census Tract 207.02, San Francisco County, California",1995,1275,25,7,349,0,127,212,136,76,"Census Tract 207.02, San Francisco County, California",243,232,29,11,196,14,131,103,77,53
G0600750020801,2020-2024,CA,,,California,06,San Francisco County,075,,,020801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020801,,,06075020801,"Census Tract 208.01, San Francisco County, California",3767,1094,154,45,408,0,1008,1058,738,320,"Census Tract 208.01, San Francisco County, California",762,217,192,29,130,14,350,624,631,175
G0600750020802,2020-2024,CA,,,California,06,San Francisco County,075,,,020802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020802,,,06075020802,"Census Tract 208.02, San Francisco County, California",2188,670,19,7,560,0,646,286,173,113,"Census Tract 208.02, San Francisco County, California",450,192,28,14,211,14,402,154,127,85
G0600750020900,2020-2024,CA,,,California,06,San Francisco County,075,,,020900,,,,,,,,,,,,,,,,,,,,,,,1400000US06075020900,,,06075020900,"Census Tract 209, San Francisco County, California",3746,1222,38,33,612,0,1170,671,312,359,"Census Tract 209, San Francisco County, California",727,391,53,34,173,14,610,241,145,188
G0600750021000,2020-2024,CA,,,California,06,San Francisco County,075,,,021000,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021000,,,06075021000,"Census Tract 210, San Francisco County, California",3609,2321,28,35,585,0,123,517,297,220,"Census Tract 210, San Francisco County, California",647,581,48,43,235,14,106,221,192,122
G0600750021100,2020-2024,CA,,,California,06,San Francisco County,075,,,021100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021100,,,06075021100,"Census Tract 211, San Francisco County, California",4086,2835,10,0,628,0,62,551,171,380,"Census Tract 211, San Francisco County, California",405,362,18,14,168,14,49,237,96,167
G0600750021200,2020-2024,CA,,,California,06,San Francisco County,075,,,021200,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021200,,,06075021200,"Census Tract 212, San Francisco County, California",2917,1733,7,33,363,0,36,745,218,527,"Census Tract 212, San Francisco County, California",364,338,8,34,148,14,30,168,94,151
G0600750021300,2020-2024,CA,,,California,06,San Francisco County,075,,,021300,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021300,,,06075021300,"Census Tract 213, San Francisco County, California",2427,1579,80,36,280,0,21,431,91,340,"Census Tract 213, San Francisco County, California",448,359,106,52,126,14,24,191,57,174
