zip,date,rent
94112,2020-01,2935.9712048154065
94110,2020-01,3646.8946343439247
94122,2020-01,3007.119372606538
94109,2020-01,2809.7140946089758
94116,2020-01,2608.8470992843645
94117,2020-01,3366.4984349934166
94118,2020-01,2959.663793374466
94121,2020-01,2924.3130243289465
94124,2020-01,3274.3139937350084
94114,2020-01,3501.4153936585158
94102,2020-01,3076.4796958077995
94115,2020-01,3260.240114995744
94103,2020-01,3602.122469059375
94131,2020-01,3318.1391898396187
94132,2020-01,3274.3139937350084
94107,2020-01,3538.9881210979597
94133,2020-01,3215.506414533028
94123,2020-01,3379.865146627143
94127,2020-01,3274.3139937350084
94105,2020-01,3884.22589559471
94108,2020-01,2935.349739802956
94158,2020-01,4240.612041592271
94129,2020-01,3274.3139937350084
94112,2020-02,3022.932373325602
94110,2020-02,3654.4900578798142
94122,2020-02,2945.984269912768
94109,2020-02,2827.5301047315893
94116,2020-02,2604.343579380076
94117,2020-02,3399.6496901974656
94118,2020-02,2957.0994359395536
94121,2020-02,2981.970177047431
94124,2020-02,3283.569670320692
94114,2020-02,3488.7834817772955
94102,2020-02,3083.675643581441
94115,2020-02,3243.7921123167007
94103,2020-02,3616.9899065141294
94131,2020-02,3280.913590416172
94132,2020-02,3283.569670320692
94107,2020-02,3569.7792236027303
94133,2020-02,3304.0892362117024
94123,2020-02,3341.490492698976
94127,2020-02,3283.569670320692
94105,2020-02,3948.569497974708
94108,2020-02,2903.6358062120994
94158,2020-02,4212.105056372892
94129,2020-02,3283.569670320692
94112,2020-03,3045.8649691803785
94110,2020-03,3648.904915860545
94122,2020-03,2909.8663676817205
94109,2020-03,2798.51186558176
94116,2020-03,2606.047149889904
94117,2020-03,3364.9885324236134
94118,2020-03,2918.655192821088
94121,2020-03,3034.823214554983
94124,2020-03,3276.1563875606084
94114,2020-03,3513.674660217195
94102,2020-03,3021.6036519131
94115,2020-03,3239.916209760442
94103,2020-03,3616.0571857021714
94131,2020-03,3250.18132243442
94132,2020-03,3276.1563875606084
94107,2020-03,3565.5019997514355
94133,2020-03,3230.8195729624445
94123,2020-03,3343.34778572216
94127,2020-03,3276.1563875606084
94105,2020-03,3957.0107261135945
94108,2020-03,2970.670322836026
94158,2020-03,4210.525718244577
94129,2020-03,3276.1563875606084
94112,2020-04,3367.4927352830405
94110,2020-04,3633.025492389603
94122,2020-04,2961.4234551792006
94109,2020-04,2761.25593369193
94116,2020-04,2596.07084526356
94117,2020-04,3356.238458339037
94118,2020-04,2873.691322191294
94121,2020-04,3030.937054402439
94124,2020-04,3277.028178771887
94114,2020-04,3450.7503108383503
94102,2020-04,2944.7482029025214
94115,2020-04,3214.152622459477
94103,2020-04,3620.6613681930007
94131,2020-04,3331.830321942525
94132,2020-04,3277.028178771887
94107,2020-04,3510.4074552079805
94133,2020-04,3185.760051990531
94123,2020-04,3337.114918742166
94127,2020-04,3277.028178771887
94105,2020-04,3959.616570532343
