zip,date,rent
94112,2020-1,2935.9712048154065
94112,2020-2,3022.932373325602
94112,2020-3,3045.8649691803785
94112,2020-4,3367.4927352830405
94112,2020-5,3318.4583222807987
94112,2020-6,3314.858552951545
94112,2020-7,3213.3035653791612
94112,2020-8,3162.346382882976
94112,2020-9,3078.946739680288
94112,2020-10,3001.2271466403654
94112,2020-11,2967.553854344193
94112,2020-12,3015.673010902583
94112,2021-1,3055.1722403183467
94112,2021-2,3039.702558231853
94112,2021-3,2987.014909901765
94112,2021-4,2919.1834240255403
94112,2021-5,2946.8696091166635
94112,2021-6,2965.8332836588093
94112,2021-7,3091.5623648602773
94112,2021-8,3060.960172385792
94112,2021-9,3137.7067103539853
94112,2021-10,3090.2058782666804
94112,2021-11,3115.5127579280343
94112,2021-12,3093.6790297661382
94112,2022-1,3103.355760851753
94112,2022-2,3176.070617671776
94112,2022-3,3224.5049396994054
94112,2022-4,3288.9170535501203
94112,2022-5,3306.64168985766
94112,2022-6,3363.0331750938
94112,2022-7,3318.237905662872
94112,2022-8,3346.215157521441
94112,2022-9,3284.372110244241
94112,2022-10,3364.5106759345304
94112,2022-11,3194.386005109147
94112,2022-12,3194.332610731453
94112,2023-1,3185.506743790256
94112,2023-2,3352.3478874071748
94112,2023-3,3413.5308003006216
94112,2023-4,3408.1368662869936
94112,2023-5,3392.8564480898112
94112,2023-6,3348.6655058190845
94112,2023-7,3348.33928307697
94112,2023-8,3420.3090985569825
94112,2023-9,3423.017745219488
94112,2023-10,3437.931908840437
94112,2023-11,3339.1119946173694
94112,2023-12,3440.9651834805163
94112,2024-1,3406.306272109344
94112,2024-2,3409.8519053492582
94112,2024-3,3380.895597634943
94112,2024-4,3425.0664571611524
94112,2024-5,3442.0622770123023
94112,2024-6,3439.0128742992824
94112,2024-7,3442.6527883462254
94112,2024-8,3501.1274712069294
94112,2024-9,3468.157219090099
94112,2024-10,3492.168231956543
94112,2024-11,3522.46486815449
94112,2024-12,3622.5882078786008
94110,2020-1,3646.8946343439247
94110,2020-2,3654.4900578798142
94110,2020-3,3648.9049158605458
94110,2020-4,3633.025492389603
94110,2020-5,3587.736932905738
94110,2020-6,3542.5588368949707
94110,2020-7,3475.628677511954
94110,2020-8,3385.2626057495186
94110,2020-9,3283.175732820007
94110,2020-10,3174.6810764385405
94110,2020-11,3102.180133817581
94110,2020-12,3080.3201982791606
94110,2021-1,3071.0065400270437
94110,2021-2,3090.1082364616937
94110,2021-3,3098.609317101975
94110,2021-4,3151.966239944746
94110,2021-5,3152.1763205449197
94110,2021-6,3203.279771060883
94110,2021-7,3238.814282904303
94110,2021-8,3290.3212108923985
94110,2021-9,3303.4317698238924
94110,2021-10,3280.508817013357
94110,2021-11,3283.6685533469454
94110,2021-12,3291.6770499972013
94110,2022-1,3308.8269223824996
94110,2022-2,3327.322096307716
94110,2022-3,3328.4406780938066
94110,2022-4,3349.768754340093
94110,2022-5,3369.457918122256
94110,2022-6,3410.0956228476616
94110,2022-7,3437.315415223907
94110,2022-8,3477.2416582195024
94110,2022-9,3500.2140519638833
94110,2022-10,3528.6932536857375
94110,2022-11,3495.833664992562
94110,2022-12,3453.364785414185
94110,2023-1,3398.8057991934234
94110,2023-2,3401.260368150407
94110,2023-3,3415.506748876673
94110,2023-4,3438.284808663427
94110,2023-5,3446.9017115499996
94110,2023-6,3462.705558271132
94110,2023-7,3482.013876708408
94110,2023-8,3500.8012373166493
94110,2023-9,3490.256886707799
94110,2023-10,3454.012111866326
94110,2023-11,3404.805107233018
94110,2023-12,3401.917313569024
94110,2024-1,3408.2983652838393
94110,2024-2,3451.428534183637
94110,2024-3,3469.907898101458
94110,2024-4,3497.038718039774
94110,2024-5,3483.911251068753
94110,2024-6,3487.4261294920993
94110,2024-7,3517.004434783344
94110,2024-8,3542.6152085268686
94110,2024-9,3551.906544645836
94110,2024-10,3533.6520105341824
94110,2024-11,3516.7431097569215
94110,2024-12,3472.83711177202
94122,2020-1,3007.119372606538
94122,2020-2,2945.9842699127676
94122,2020-3,2909.8663676817205
94122,2020-4,2961.4234551792006
94122,2020-5,2974.9130666391125
94122,2020-6,2974.999606296336
94122,2020-7,2872.4638279252868
94122,2020-8,2832.8595443321133
94122,2020-9,2795.729030923064
94122,2020-10,2750.552054056057
94122,2020-11,2694.768197671316
94122,2020-12,2660.733259280884
94122,2021-1,2680.0437691623115
94122,2021-2,2676.406384850323
94122,2021-3,2697.5861234602617
94122,2021-4,2712.609384959072
94122,2021-5,2767.657017192329
94122,2021-6,2778.489404962376
94122,2021-7,2791.426328687531
94122,2021-8,2807.372931002522
94122,2021-9,2850.7046629029087
94122,2021-10,2862.037741418824
94122,2021-11,2845.7163087305566
94122,2021-12,2823.14852073969
94122,2022-1,2847.3245031616884
94122,2022-2,2872.682576524464
94122,2022-3,2907.82069750716
94122,2022-4,2931.4330920018665
94122,2022-5,2919.1224572959077
94122,2022-6,2939.3050945417176
94122,2022-7,2932.082380909873
94122,2022-8,2964.3336410002853
94122,2022-9,2985.669003557394
94122,2022-10,3004.772555693146
94122,2022-11,3023.3486907801657
94122,2022-12,2991.5831396602803
94122,2023-1,2986.641943834685
94122,2023-2,2990.800414241544
94122,2023-3,3006.8034576463483
94122,2023-4,3019.650285509289
94122,2023-5,3025.3363515769565
94122,2023-6,3027.0950516948005
94122,2023-7,3028.149805738032
94122,2023-8,3034.639834486072
94122,2023-9,3057.8547527885457
94122,2023-10,3035.6612072675903
94122,2023-11,3004.509252414959
94122,2023-12,3017.565313847111
94122,2024-1,3018.2874536442
94122,2024-2,3028.750198630119
94122,2024-3,3017.332245223505
94122,2024-4,3042.16094587577
94122,2024-5,3074.011359377017
94122,2024-6,3078.9736880879495
94122,2024-7,3092.211269897546
94122,2024-8,3094.296824820029
94122,2024-9,3078.5497707456125
94122,2024-10,3122.9466593473703
94122,2024-11,3098.565154870313
94122,2024-12,3107.1251279874273
94109,2020-1,2809.7140946089753
94109,2020-2,2827.5301047315893
94109,2020-3,2798.51186558176
94109,2020-4,2761.25593369193
94109,2020-5,2723.220071866221
94109,2020-6,2698.786640180951
94109,2020-7,2662.0241911788557
94109,2020-8,2577.6586540087096
94109,2020-9,2482.6849962339215
94109,2020-10,2405.2385702490706
94109,2020-11,2362.7162226729247
94109,2020-12,2343.850314324351
94109,2021-1,2312.7410057888123
94109,2021-2,2289.1475757557673
94109,2021-3,2277.080214597562
94109,2021-4,2310.751603768961
94109,2021-5,2357.4091872146123
94109,2021-6,2435.73807988608
94109,2021-7,2474.956413589463
94109,2021-8,2518.5019712933845
94109,2021-9,2507.9476306543156
94109,2021-10,2511.835934053683
94109,2021-11,2514.799037641257
94109,2021-12,2509.5735203488875
94109,2022-1,2513.452478122076
94109,2022-2,2525.216812931127
94109,2022-3,2553.0845897159456
94109,2022-4,2562.952331022524
94109,2022-5,2581.257864237294
94109,2022-6,2584.8043128131435
94109,2022-7,2613.7640951567123
94109,2022-8,2629.67819284731
94109,2022-9,2653.579885170447
94109,2022-10,2675.511654012527
94109,2022-11,2665.7670298649587
94109,2022-12,2639.4490654739197
94109,2023-1,2608.1462534070547
94109,2023-2,2605.876537346932
94109,2023-3,2608.725966138126
94109,2023-4,2601.608050659868
94109,2023-5,2594.87983822566
94109,2023-6,2607.5326530484663
94109,2023-7,2612.1818071850935
94109,2023-8,2612.7020482568446
94109,2023-9,2610.68106974605
94109,2023-10,2604.65832402355
94109,2023-11,2591.265632492929
94109,2023-12,2555.8178026165765
94109,2024-1,2552.184890834994
94109,2024-2,2560.8242140143498
94109,2024-3,2579.4992251341723
94109,2024-4,2583.3524889888495
94109,2024-5,2572.1938630618347
94109,2024-6,2573.144308158132
94109,2024-7,2571.305298166823
94109,2024-8,2588.8065054453045
94109,2024-9,2604.059775419911
94109,2024-10,2612.689062866893
94109,2024-11,2618.0604862460136
94109,2024-12,2617.0605813288607
94116,2020-1,2608.8470992843645
94116,2020-2,2604.343579380076
94116,2020-3,2606.047149889904
94116,2020-4,2596.07084526356
94116,2020-5,2600.762138517794
94116,2020-6,2612.405826421045
94116,2020-7,2604.068658529254
94116,2020-8,2629.4995028208573
94116,2020-9,2565.3630936545346
94116,2020-10,2523.8458640807235
94116,2020-11,2461.594015095475
94116,2020-12,2377.8556935503407
94116,2021-1,2395.758226580841
94116,2021-2,2429.306324793739
94116,2021-3,2533.772804989137
94116,2021-4,2564.343802294717
94116,2021-5,2569.2730934624287
94116,2021-6,2557.428931150207
94116,2021-7,2596.4208024391487
94116,2021-8,2619.3413762145974
94116,2021-9,2660.483945252951
94116,2021-10,2635.7686005412597
94116,2021-11,2587.090021363954
94116,2021-12,2608.8847701240534
94116,2022-1,2632.740212370445
94116,2022-2,2688.6934686601926
94116,2022-3,2695.595826700381
94116,2022-4,2733.785056014628
94116,2022-5,2754.0283610962706
94116,2022-6,2781.996935443944
94116,2022-7,2715.188136275091
94116,2022-8,2728.081011736426
94116,2022-9,2710.705881274767
94116,2022-10,2767.6327612529913
94116,2022-11,2743.4146980764604
94116,2022-12,2791.4616959702844
94116,2023-1,2780.86973236982
94116,2023-2,2849.595210836416
94116,2023-3,2827.639579869633
94116,2023-4,2806.2478454284146
94116,2023-5,2773.1683759643247
94116,2023-6,2778.117304277453
94116,2023-7,2820.345959992911
94116,2023-8,2862.447740395764
94116,2023-9,2845.4827866455744
94116,2023-10,2823.212730204234
94116,2023-11,2808.8156876115713
94116,2023-12,2831.4549120179445
94116,2024-1,2852.2303711429913
94116,2024-2,2811.6424030140283
94116,2024-3,2783.0984373210745
94116,2024-4,2791.6202406400375
94116,2024-5,2829.7818458067804
94116,2024-6,2907.004317730183
94116,2024-7,2925.785510540649
94116,2024-8,2911.192483090154
94116,2024-9,2860.037643193016
94116,2024-10,2872.8859984905516
94116,2024-11,2886.591079904012
94116,2024-12,2947.0297162636616
94117,2020-1,3366.4984349934166
94117,2020-2,3399.6496901974656
94117,2020-3,3364.9885324236134
94117,2020-4,3356.238458339037
94117,2020-5,3319.1573611722915
94117,2020-6,3306.833570272293
94117,2020-7,3257.474711323812
94117,2020-8,3171.272887425733
94117,2020-9,3094.6264343056496
94117,2020-10,3019.7031538010942
94117,2020-11,2979.764940639893
94117,2020-12,2944.0350226587693
94117,2021-1,2945.31920537097
94117,2021-2,2945.140514413314
94117,2021-3,2933.125841606674
94117,2021-4,2957.0555955202776
94117,2021-5,2983.6077450464686
94117,2021-6,3027.6722712347246
94117,2021-7,3055.2195346115077
94117,2021-8,3075.2775739989925
94117,2021-9,3095.129952454742
94117,2021-10,3115.188849685189
94117,2021-11,3149.3256837357403
94117,2021-12,3182.8403174491004
94117,2022-1,3231.934599867361
94117,2022-2,3228.7374447347634
94117,2022-3,3235.622089422058
94117,2022-4,3208.934164411846
94117,2022-5,3226.8795000607774
94117,2022-6,3223.407688274812
94117,2022-7,3251.770174340096
94117,2022-8,3287.427067421089
94117,2022-9,3312.1449988480895
94117,2022-10,3292.3480100489674
94117,2022-11,3249.753893361046
94117,2022-12,3212.8253509045235
94117,2023-1,3208.4712596600184
94117,2023-2,3233.1555932103643
94117,2023-3,3251.737664829765
94117,2023-4,3267.218961282788
94117,2023-5,3277.278377139691
94117,2023-6,3303.360987967362
94117,2023-7,3294.4865205046
94117,2023-8,3283.491585568589
94117,2023-9,3287.211738757373
94117,2023-10,3277.1772171696525
94117,2023-11,3275.821037355137
94117,2023-12,3225.8016940009247
94117,2024-1,3221.5285111919015
94117,2024-2,3223.309641410578
94117,2024-3,3251.1758694035234
94117,2024-4,3300.825851298723
94117,2024-5,3304.447333957999
94117,2024-6,3348.1886360325593
94117,2024-7,3350.8277132933968
94117,2024-8,3376.1638699052705
94117,2024-9,3377.5947494552593
94117,2024-10,3384.930523450999
94117,2024-11,3425.615295909333
94117,2024-12,3429.009298683688
94118,2020-1,2959.663793374466
94118,2020-2,2957.0994359395536
94118,2020-3,2918.655192821088
94118,2020-4,2873.691322191294
94118,2020-5,2847.751588327411
94118,2020-6,2875.48879822551
94118,2020-7,2867.3284245676564
94118,2020-8,2840.3149641824857
94118,2020-9,2764.403873550681
94118,2020-10,2702.204565193326
94118,2020-11,2618.333633637797
94118,2020-12,2472.623145015262
94118,2021-1,2469.24293125055
94118,2021-2,2537.7093996759495
94118,2021-3,2666.26093576603
94118,2021-4,2690.691309367166
94118,2021-5,2702.1841678104342
94118,2021-6,2733.547807892279
94118,2021-7,2774.2336304921287
94118,2021-8,2817.4277975822893
94118,2021-9,2856.247682911088
94118,2021-10,2843.6959577074904
94118,2021-11,2816.892844780471
94118,2021-12,2780.197430693173
94118,2022-1,2806.76932189471
94118,2022-2,2790.5590822813942
94118,2022-3,2841.330190674931
94118,2022-4,2855.612875093162
94118,2022-5,2906.4988796923503
94118,2022-6,2921.52453204031
94118,2022-7,2931.500176353441
94118,2022-8,2951.0382004210205
94118,2022-9,2965.987269134429
94118,2022-10,2965.1046019019777
94118,2022-11,2937.97017972175
94118,2022-12,2928.131317653905
94118,2023-1,2914.7569558895516
94118,2023-2,2923.991463017197
94118,2023-3,2916.8648178701933
94118,2023-4,2923.662674385402
94118,2023-5,2935.3192781834805
94118,2023-6,2966.377325215392
94118,2023-7,2992.9261885666883
94118,2023-8,2974.552270025099
94118,2023-9,2981.266338646768
94118,2023-10,2946.4118690725077
94118,2023-11,2961.954321666191
94118,2023-12,2955.626714995594
94118,2024-1,2984.9687113845375
94118,2024-2,2971.323016887364
94118,2024-3,2957.916751905479
94118,2024-4,2992.2586779274084
94118,2024-5,3033.5786310276794
94118,2024-6,3046.7241622364736
94118,2024-7,3044.702178241844
94118,2024-8,3071.789582568604
94118,2024-9,3101.818560180808
