geo_id,population,med_rent,med_hh_inc,white_pct
06075031402,4199,2690,155568,0.16241962371993332
06075031401,2533,2423,99500,0.0852743782076589
06075030101,4389,3034,156156,0.4529505582137161
06075030600,2258,3367,247500,0.5296722763507529
06075031301,3697,3000,147938,0.20340816878550175
06075030500,3641,2878,177361,0.46580609722603683
06075031302,4890,3082,138000,0.15930470347648262
06075012403,2481,1109,,0.13663845223700122
06075030302,3552,3501,216188,0.38879504504504503
06075030301,6160,3450,199167,0.43863636363636366
06075030202,4082,2502,122697,0.48799608035276826
06075030201,3841,2446,109659,0.5339755272064567
06075047702,3135,2572,112500,0.4347687400318979
06075030102,5120,3193,208712,0.5171875
06075026404,2422,1720,84415,0.06771263418662263
06075026403,3685,1758,75156,0.07408412483039349
06075061501,1862,3501,229363,0.4522019334049409
06075026402,4660,3044,151250,0.21716738197424892
06075026401,3194,1679,82045,0.09392611145898559
06075026303,4600,2186,96146,0.10804347826086956
06075026302,4302,1544,92031,0.11483031148303115
06075021500,5181,3207,178488,0.5159235668789809
06075026301,5019,1927,115125,0.15481171548117154
06075026201,3856,2070,160417,0.09491701244813278
06075026100,6811,1950,122222,0.07898986932902657
06075026002,3641,2442,127768,0.29497390826695963
06075026001,5625,2563,120650,0.1584
06075025900,4034,3501,175524,0.19410014873574616
06075025800,1603,1140,82188,0.08733624454148471
06075025702,4545,1721,125473,0.1922992299229923
06075032901,6013,2933,176000,0.19690670214535175
06075025701,4604,2298,130538,0.14834926151172892
06075032902,3720,3501,126471,0.17956989247311828
06075026004,3840,3501,146136,0.20755208333333333
06075025600,5419,2667,144100,0.20926370178999815
06075025502,3739,2111,180341,0.28617277346884196
06075026202,3706,2117,148429,0.1300593631948192
06075025501,4235,2230,113920,0.13105076741440377
06075025403,4410,2206,147083,0.27006802721088435
06075032802,4268,2044,105195,0.25796626054358013
06075025402,2901,3501,190625,0.4498448810754912
06075025401,3567,3113,204844,0.5102326885337819
06075025300,4302,3030,181578,0.5034867503486751
06075025200,5415,2520,197853,0.5968605724838412
06075025100,3504,2920,165759,0.5967465753424658
06075026003,4639,2213,105250,0.1452899331752533
06075023300,3818,1435,89531,0.13829229963331588
06075023200,3570,,82019,0.12997198879551822
06075023103,4545,864,30486,0.012321232123212322
06075023102,3231,1102,43882,0.04178272980501393
06075012302,2700,1517,44954,0.40925925925925927
06075022903,2798,3417,189875,0.4960686204431737
06075022902,1891,3078,205583,0.3749338974087784
06075022901,4542,2627,101617,0.26309995596653457
06075022803,4117,2314,164665,0.34272528540199176
06075022801,4765,1977,160417,0.40146904512067155
06075022702,1960,3484,250001,0.45357142857142857
06075022600,4452,3501,232036,0.458670260557053
06075021800,4208,3501,250001,0.653041825095057
06075023001,5108,3501,129866,0.11021926389976508
06075021400,3460,3297,213462,0.6893063583815029
06075021700,4432,2250,133300,0.473601083032491
06075022704,4026,3501,250001,0.48931942374565324
06075022802,2103,2792,107083,0.4888254873989539
06075021600,4531,3416,237083,0.5292429927168395
06075020701,3357,3482,223707,0.591897527554364
06075021300,2427,3340,208641,0.6505974454058508
06075021200,2917,3173,201786,0.5941035310250257
06075021100,4086,3461,250001,0.6938325991189427
06075020801,3767,1760,133953,0.29041677727634724
06075018000,3492,3455,212439,0.36741122565864837
06075020500,2789,2984,250001,0.7318035138042309
06075020101,3943,2821,135759,0.3487192493025615
06075017804,4380,2655,134264,0.36232876712328765
06075017803,2415,1434,85909,0.29151138716356106
06075017903,2429,2415,93269,0.3454096335940716
06075021000,3609,2912,178558,0.6431144361318925
06075020900,3746,2446,96250,0.3262146289375334
06075020702,1995,2737,160179,0.6390977443609023
06075020402,4061,2848,152097,0.5828613641960109
06075020401,3400,3388,196667,0.6635294117647059
06075020602,2379,2865,207958,0.7255149222362337
06075020300,3419,2817,182547,0.5805791167007897
06075020202,3979,2420,166985,0.399849208343805
06075020201,1905,2310,94265,0.4797900262467192
06075020102,3463,1764,100761,0.2832803927230725
06075017700,2946,2379,124679,0.3458927359131025
06075020601,3007,2457,235568,0.559694047223146
06075017604,3965,2286,101761,0.2416141235813367
06075017603,4964,2489,124291,0.30016116035455276
06075017602,3560,1810,,0.27893258426966294
06075017102,3165,3110,173594,0.725434439178515
06075017101,4003,3343,201944,0.6600049962528104
06075017000,4061,2487,229013,0.7015513420339817
06075020802,2188,1983,119667,0.3062157221206581
06075016900,2889,2475,201827,0.7345102111457251
06075016802,3943,2424,135588,0.5341110829317778
06075016801,4223,2647,123147,0.46388823111532085
06075016700,4852,2934,239839,0.6115004122011541
06075016601,2836,2568,134211,0.7179125528913963
06075016500,5206,2830,153096,0.6613522858240491
06075016400,3571,3223,161612,0.634276113133576
06075016300,3925,2267,135658,0.5954140127388535
06075016200,3209,2676,102035,0.4770956684325335
06075016102,2989,1033,34575,0.06758113081298094
06075016101,2426,,31690,0.3944765045342127
06075016000,2892,2228,131771,0.3333333333333333
06075015900,4861,1499,83866,0.3166015223205102
06075015802,3095,2618,152917,0.5201938610662359
06075015801,3384,2080,121563,0.34367612293144206
06075015702,3080,2865,216071,0.5613636363636364
