"(2024, 3, 'bryant mariposa')",0.0,0.0
"(2022, 8, '828 irving san francisco ca 94122')",0.0,0.0
"(2023, 8, '336 hyde san francisco ca 94109')",0.0,0.0
"(2023, 3, '4th harrison')",0.0,0.0
"(2022, 7, 'langton harrison')",0.0,0.0
"(2022, 8, '800 potrero san francisco ca 94110')",0.0,0.0
"(2022, 11, '1967 sutter san francisco ca 94115')",0.0,0.0
"(2023, 2, '3251 steiner san francisco ca 94123')",0.0,0.0
"(2024, 4, '13th folsom')",0.0,0.0
"(2022, 7, '945 14th san francisco ca 94114')",0.0,0.0
"(2023, 9, '400 treat san francisco ca 94110')",0.0,0.0
"(2022, 7, '1355 ellis san francisco ca 94115')",0.0,0.0
"(2023, 6, '403 main san francisco ca 94105')",0.0,0.0
"(2023, 6, '420 17th san francisco ca 94121')",0.0,0.0
"(2023, 5, '1693 folsom san francisco ca 94103')",0.0,0.0
"(2024, 5, '1360 buchanan san francisco ca 94115')",0.0,0.0
"(2022, 9, 'webster jefferson')",0.0,0.0
"(2024, 5, 'castro market')",0.0,0.0
"(2024, 3, 'austin gough')",0.0,0.0
"(2022, 12, 'marina baker')",0.0,0.0
"(2023, 8, '900 ulloa san francisco ca 94127')",0.0,0.0
"(2023, 4, '425 4th san francisco ca 94107')",0.0,0.0
"(2022, 8, '1080 post san francisco ca 94109')",0.0,0.0
"(2022, 7, '108 langton san francisco ca 94103')",0.0,0.0
"(2024, 3, '450 9th san francisco ca 94103')",0.0,0.0
"(2023, 9, '1720 market san francisco ca 94103')",0.0,0.0
"(2022, 11, 'ocean sunset')",0.0,0.0
"(2022, 8, 'mission 9th')",0.0,0.0
"(2021, 9, '605 scott san francisco ca 94117')",0.0,0.0
"(2024, 4, 'barneveld jerrold')",0.0,0.0
"(2022, 9, '401 harrison san francisco ca 94105')",0.0,0.0
"(2022, 10, 'otis gough')",0.0,0.0
"(2024, 6, '490 taraval san francisco ca 94116')",0.0,0.0
"(2023, 7, '254 pennsylvania san francisco ca 94107')",0.0,0.0
"(2022, 12, '9 scott san francisco ca 94117')",0.0,0.0
"(2022, 11, 'wisconsin 16th')",0.0,0.0
"(2024, 4, 'diamond diamond heights')",0.0,0.0
"(2022, 9, '965 geary san francisco ca 94109')",0.0,0.0
"(2023, 2, '3 stark san francisco ca 94133')",0.0,0.0
"(2023, 3, '240 6th san francisco ca 94103')",0.0,0.0
"(2022, 10, '1396 47th san francisco ca 94122')",0.0,0.0
"(2023, 2, '6333 geary san francisco ca 94121')",0.0,0.0
"(2024, 4, 'kissling 11th')",0.0,0.0
"(2022, 9, 'oak cole')",0.0,0.0
"(2023, 5, '535 minna san francisco ca 94103')",0.0,0.0
"(2023, 2, 'mississippi mariposa')",0.0,0.0
"(2023, 5, '730 eddy san francisco ca 94109')",0.0,0.0
