id,date,tents,structures,vehicles,lat,lon
1,2024-10,0,1,0,37.770037405589456,-122.47267450841996
2,2024-10,0,1,0,37.77312215977587,-122.45474785577731
3,2024-10,0,1,0,37.76548110244774,-122.47537337243556
4,2024-10,0,0,1,37.76571169025271,-122.47378684580325
5,2024-10,0,1,0,37.76409199449458,-122.4662508442998
6,2024-10,0,0,1,37.76404561093212,-122.46854547411203
7,2024-10,0,1,0,37.76186555068384,-122.47696660459042
8,2024-10,0,1,0,37.76360907392183,-122.4773344025016
9,2024-10,0,1,0,37.732301568551335,-122.47453283518554
10,2024-10,0,0,5,37.725328786302576,-122.47521344572306
11,2024-10,0,0,7,37.72747332816551,-122.48141571879388
12,2024-10,0,1,0,37.774174884629666,-122.45522101380828
13,2024-10,0,0,17,37.72324385127808,-122.48518824577332
14,2024-10,0,1,0,37.76803902220602,-122.4806759282389
15,2024-10,0,0,23,37.71812328609568,-122.48473428189756
16,2024-10,0,1,0,37.7694398509392,-122.4787427809895
17,2024-10,0,0,8,37.71922338350477,-122.48470377177
18,2024-10,2,0,0,37.77205780149523,-122.48135239565364
19,2024-10,0,0,20,37.715281203770544,-122.49299682676792
20,2024-10,0,1,0,37.76545459287738,-122.4980529185512
21,2024-10,0,0,19,37.71815723341527,-122.49941568821669
22,2024-10,0,0,1,37.733765252352555,-122.491818331182
23,2024-10,0,1,0,37.76556729473146,-122.47861313547564
24,2024-10,0,0,2,37.73261790701218,-122.47863996773958
25,2024-10,0,0,1,37.73411923675298,-122.4779801443219
26,2024-10,0,0,2,37.733710364732175,-122.47936617583036
27,2024-10,0,0,5,37.72422612764738,-122.47489761561155
28,2024-10,0,2,0,37.71728945017504,-122.47315954416987
29,2024-10,0,1,0,37.77461474515976,-122.40293495357037
30,2024-10,0,0,2,37.722409012201275,-122.4724004790187
31,2024-10,0,0,3,37.71584878024837,-122.47130781412126
32,2024-10,0,1,0,37.77162995359952,-122.50224773857371
33,2024-10,0,0,1,37.71443964428928,-122.46994391083716
34,2024-10,0,0,3,37.713866487213586,-122.3997662588954
35,2024-10,0,0,2,37.71506451571607,-122.38929692655805
36,2024-10,4,0,0,37.770241932188135,-122.40855015814304
37,2024-10,0,1,0,37.77279992666012,-122.40987181663516
38,2024-10,0,0,10,37.70982031241888,-122.39611476659776
39,2024-10,0,0,1,37.71053009986611,-122.39867124706508
40,2024-10,0,0,2,37.72363183078498,-122.4616464972496
41,2024-10,0,1,0,37.724941876440965,-122.46141649782656
42,2024-10,0,1,0,37.77541348439443,-122.41454657167196
43,2024-10,0,0,2,37.71916291570117,-122.44884364306928
44,2024-10,4,0,1,37.721466757175406,-122.38703448325396
45,2024-10,0,0,5,37.72179401513452,-122.38793235272168
46,2024-10,0,1,2,37.769791385247615,-122.41154786199333
47,2024-10,1,0,0,37.7899200626936,-122.39244037088724
48,2024-10,2,0,0,37.7704817810574,-122.41260465234518
49,2024-10,0,0,2,37.71292916294173,-122.45404075831176
50,2024-10,1,0,1,37.72086421685969,-122.3895376548171
51,2024-10,0,0,3,37.71149530439875,-122.45616372674704
52,2024-10,0,0,2,37.72204330304735,-122.38965466618536
53,2024-10,0,0,3,37.72209819931543,-122.39031951874496
54,2024-10,0,0,3,37.72387952135536,-122.38983672112226
55,2024-10,0,1,0,37.79457059587004,-122.39447131265486
56,2024-10,0,0,2,37.72412827186545,-122.38855730742216
57,2024-10,0,1,0,37.712643242198766,-122.465995028615
58,2024-10,0,1,0,37.77322342362992,-122.4182004109025
59,2024-10,0,0,1,37.72579657592414,-122.38979883491994
60,2024-10,0,0,1,37.72514395024661,-122.39030677825212
61,2024-10,0,0,7,37.7245395835094,-122.3909605666995
62,2024-10,1,2,0,37.77041366935816,-122.41790905594829
63,2024-10,1,0,7,37.723900471590454,-122.39151913672686
64,2024-10,0,1,0,37.77006754434504,-122.41784736514091
65,2024-10,0,0,1,37.72232335314876,-122.39183228462936
66,2024-10,0,0,2,37.722047546238585,-122.39320054650304
67,2024-10,1,0,0,37.7656483277736,-122.5057179267777
68,2024-10,0,0,1,37.72533382486868,-122.3937688395381
69,2024-10,0,0,1,37.72707820888315,-122.39031918346885
70,2024-10,0,0,1,37.72698221314189,-122.38861329853536
71,2024-10,0,0,2,37.72662527760917,-122.38618355244397
72,2024-10,0,0,11,37.72656083809863,-122.3844253644347
73,2024-10,0,0,3,37.72547251789532,-122.38181188702583
74,2024-10,0,0,1,37.726158288775984,-122.38102700561284
75,2024-10,0,0,4,37.726453969157134,-122.38254245370628
76,2024-10,0,0,1,37.76953351214582,-122.438668012619
77,2024-10,0,1,0,37.770493442198045,-122.42484625428916
78,2024-10,0,0,3,37.727416844799905,-122.3825964331627
79,2024-10,0,0,2,37.7106786344956,-122.4655283242464
80,2024-10,0,0,3,37.72794958994829,-122.38181624561548
81,2024-10,2,2,0,37.71327263770015,-122.47052762657404
82,2024-10,0,0,3,37.72740411614819,-122.37992931157348
83,2024-10,0,0,1,37.768269576403874,-122.443551979959
84,2024-10,0,1,1,37.74875961135154,-122.41581910098633
85,2024-10,0,0,1,37.77046932483691,-122.44295820593833
86,2024-10,0,0,2,37.728257991684934,-122.37915180623531
87,2024-10,1,0,0,37.7729382657368,-122.42115050554276
88,2024-10,1,0,0,37.77267324812146,-122.40052197128534
89,2024-10,0,0,1,37.77259983807401,-122.4202036857605
90,2024-10,0,1,0,37.7732130880006,-122.41982314735652
91,2024-10,0,0,1,37.770263929409666,-122.4448622390628
92,2024-10,0,1,0,37.77015155799252,-122.44614366441968
93,2024-10,0,1,0,37.77009060172784,-122.4468470737338
94,2024-10,0,1,0,37.769584927820624,-122.44977805763484
95,2024-10,0,1,0,37.77274851322081,-122.42178585380316
96,2024-10,0,0,1,37.768269046336115,-122.44933012872936
97,2024-10,0,0,1,37.73140213110943,-122.37355202436449
98,2024-10,6,1,0,37.7741756204113,-122.41992574185132
99,2024-10,1,0,0,37.78199665694071,-122.41307149181368
100,2024-10,1,0,0,37.78464029669081,-122.41107763478256
101,2024-10,0,0,1,37.77107808702927,-122.45347782969472
102,2024-10,2,0,0,37.78555159665204,-122.4129421998506
103,2024-10,6,0,0,37.784415205245026,-122.41270860636902
104,2024-10,0,2,0,37.77211909321804,-122.41777997463942
105,2024-10,2,0,0,37.78418182442263,-122.4143515711526
106,2024-10,2,0,0,37.78512096970352,-122.41455230525544
107,2024-10,0,2,0,37.77180795899355,-122.41583336144686
108,2024-10,6,0,0,37.78646714569512,-122.41904327951184
109,2024-10,1,0,0,37.78743988421193,-122.41920560041326
110,2024-10,1,1,0,37.76976529932824,-122.40573912222978
111,2024-10,1,0,0,37.78553517392924,-122.41879340550292
112,2024-10,1,0,0,37.78133746475602,-122.42039683395896
113,2024-10,2,0,0,37.78498201815063,-122.41198559444898
114,2024-10,1,0,0,37.78454779762106,-122.41523345398558
115,2024-10,0,0,1,37.737417441514154,-122.39064607769252
116,2024-10,1,0,0,37.784158554560875,-122.41850109245304
117,2024-10,1,1,0,37.76906072324881,-122.40902967914326
118,2024-10,4,1,0,37.76979297541811,-122.41572104394436
119,2024-10,0,0,3,37.74018364144521,-122.39024106413126
120,2024-10,0,0,10,37.74126882900335,-122.39006604999302
121,2024-10,0,0,1,37.74242611508712,-122.38900925964116
122,2024-10,1,1,0,37.770300829737,-122.41975924084424
123,2024-10,1,0,3,37.73988138749701,-122.38626033067705
124,2024-10,0,0,1,37.77270717042924,-122.44805842638014
125,2024-10,0,1,0,37.77685750034461,-122.41431925445796
126,2024-10,0,0,1,37.73860024127111,-122.38115508109333
127,2024-10,0,1,0,37.78020732852964,-122.40984264761212
128,2024-10,0,0,2,37.742244238105975,-122.38346010446548
129,2024-10,0,1,0,37.7808112407417,-122.40911744534972
130,2024-10,1,0,0,37.785068165126646,-122.3942995816469
131,2024-10,0,1,0,37.77495952383747,-122.43803568184376
132,2024-10,0,1,0,37.77903791362848,-122.41019804030655
133,2024-10,0,1,0,37.778392647316075,-122.41099365055562
134,2024-10,4,2,3,37.744935229459784,-122.38951016217467
135,2024-10,0,1,1,37.77728309408504,-122.4123863875866
136,2024-10,0,1,9,37.74472605147143,-122.3881345242262
137,2024-10,0,1,0,37.80658884080109,-122.4059896543622
138,2024-10,0,2,0,37.77645230950676,-122.41341635584833
139,2024-10,0,0,1,37.74567490353649,-122.39178232848644
140,2024-10,0,1,2,37.77276706446589,-122.44096096605064
141,2024-10,0,1,0,37.77307077418825,-122.44103204458952
142,2024-10,2,0,0,37.78064641745067,-122.39959526807073
143,2024-10,0,0,1,37.753496703266926,-122.38606017082928
144,2024-10,1,0,0,37.77935829222241,-122.39843554794788
145,2024-10,0,0,3,37.77897245976643,-122.44468655437232
146,2024-10,0,0,5,37.75014619521246,-122.38919634371996
147,2024-10,1,0,0,37.77920565544762,-122.401430234313
148,2024-10,0,0,3,37.74937634425176,-122.39035539329052
149,2024-10,0,0,2,37.778044969662005,-122.40170918405056
150,2024-10,2,1,0,37.749992437740545,-122.39248339086772
151,2024-10,0,0,1,37.780827935041685,-122.44924396276474
152,2024-10,0,0,3,37.75090357864829,-122.39256050437687
153,2024-10,0,0,3,37.7526749295911,-122.39081170409918
154,2024-10,0,0,1,37.7804384003932,-122.45279654860498
155,2024-10,0,0,2,37.77980825088078,-122.45381277054548
156,2024-10,1,0,0,37.78506261234642,-122.40039262252218
157,2024-10,0,1,0,37.80712710848542,-122.40969814360145
158,2024-10,0,0,3,37.75484121135312,-122.39753633737564
159,2024-10,1,0,0,37.78429776747994,-122.40453057768693
160,2024-10,0,0,1,37.75993140575308,-122.39919327199458
161,2024-10,3,0,0,37.77969297904727,-122.40729622542857
162,2024-10,2,0,0,37.78060640402397,-122.40718390792608
163,2024-10,1,0,2,37.74033529822442,-122.3864323273301
164,2024-10,0,0,0,37.77702295821036,-122.39507752910004
165,2024-10,0,0,2,37.76110085779421,-122.40019608289003
166,2024-10,0,1,0,37.77690864592364,-122.41174601018427
167,2024-10,0,1,0,37.77858132535851,-122.40963310003282
168,2024-10,0,2,0,37.7799365071463,-122.40793492645024
169,2024-10,0,3,0,37.77854369578736,-122.407844401896
170,2024-10,1,0,0,37.77736365451729,-122.39628575742243
171,2024-10,0,2,0,37.77731833928495,-122.41008069366217
172,2024-10,0,1,0,37.746606246080184,-122.3947636038065
173,2024-10,5,0,0,37.77485060469027,-122.3961952328682
174,2024-10,0,0,5,37.74659696717726,-122.39937063306569
175,2024-10,0,2,7,37.745465727638646,-122.40141212940216
176,2024-10,1,0,0,37.76410657217964,-122.3919439315796
177,2024-10,0,1,0,37.74025390205462,-122.46235828846692
178,2024-10,0,1,0,37.77598775508096,-122.40903563797474
179,2024-10,0,0,1,37.776184124421455,-122.40872651338576
180,2024-10,1,0,0,37.77029891292919,-122.39895422011614
181,2024-10,0,1,0,37.78026271164533,-122.47976683080196
182,2024-10,0,1,0,37.77732734933338,-122.40735791623592
183,2024-10,1,0,0,37.77569215794335,-122.39459868526576
184,2024-10,0,0,1,37.772422540583,-122.49014195054768
185,2024-10,0,1,0,37.76342847405746,-122.4193670367019
186,2024-10,0,0,0,37.775448634383366,-122.39658947210458
187,2024-10,0,1,0,37.765294571800126,-122.41380630860434
188,2024-10,0,1,0,37.79072990533379,-122.419795319438
189,2024-10,0,0,2,37.747418808353025,-122.39509854465724
190,2024-10,0,0,2,37.76410441357779,-122.41224134924336
191,2024-10,0,1,0,37.78909697975674,-122.42086317390203
192,2024-10,1,1,0,37.77081677309306,-122.4090027809143
193,2024-10,0,1,0,37.7881354365227,-122.42079075425865
194,2024-10,0,0,1,37.77146184050706,-122.50887013971806
195,2024-10,5,0,0,37.78839086008464,-122.41888303309678
196,2024-10,0,1,0,37.77261706426497,-122.40667797625066
197,2024-10,0,0,3,37.76719236799105,-122.40518829011256
198,2024-10,0,0,2,37.76716491674687,-122.40615660903144
199,2024-10,1,0,0,37.781624992856706,-122.3924112491815
200,2024-10,0,0,1,37.77601372568495,-122.51136157661676
201,2024-10,0,0,3,37.767805905940406,-122.40765211857988
202,2024-10,0,0,1,37.76824258399219,-122.40933486230016
203,2024-10,1,0,0,37.785878185155994,-122.41967529058456
204,2024-10,0,0,7,37.76710634395057,-122.41369045090958
205,2024-10,0,1,1,37.718652915551935,-122.46359914541245
206,2024-10,0,1,0,37.77629357161429,-122.42055907845496
207,2024-10,0,1,0,37.77644939445671,-122.4224755167961
208,2024-10,0,1,0,37.781077289136974,-122.4222706630826
209,2024-10,0,0,1,37.76583541239483,-122.41533330551998
210,2024-10,1,0,0,37.7811671200024,-122.42319099605083
211,2024-10,0,1,0,37.77639321346973,-122.42342535406353
212,2024-10,0,0,2,37.73965681731707,-122.5066090375185
213,2024-10,0,0,2,37.740650011563346,-122.50682428479196
214,2024-10,0,0,3,37.74190646538395,-122.50693660229445
215,2024-10,0,0,2,37.744481612059175,-122.50729333609344
216,2024-10,0,0,2,37.747262129013635,-122.50718638300896
217,2024-10,0,0,2,37.75138128027985,-122.5082280859351
218,2024-10,0,0,2,37.754939291625625,-122.50869713723658
219,2024-10,0,0,4,37.75755878203626,-122.50900626182556
220,2024-10,0,0,6,37.75960087051256,-122.50936098396777
221,2024-10,0,0,6,37.7620012596532,-122.50959668308498
222,2024-10,0,0,3,37.763795404242,-122.50944580882788
223,2024-10,0,0,3,37.76011535977006,-122.50918328762054
224,2024-10,0,0,3,37.780314384849824,-122.43032835423946
225,2024-10,0,1,0,37.78434133881246,-122.4309365451336
