zip,tract,res_ratio,date
94102,06075016000,0.06075105118167319,2020-09
94102,06075016802,0.1056981296215746,2020-09
94102,06075011700,0.0014015755642549901,2020-09
94102,06075016801,0.04286888018945435,2020-09
94102,06075012502,0.11444589435020057,2020-09
94102,06075012100,0.0156589821661592,2020-09
94102,06075016200,0.11526750761200522,2020-09
94102,06075012301,0.0665506742061766,2020-09
94102,06075012302,0.04779855976028225,2020-09
94102,06075016300,0.04755690880092794,2020-09
94103,06075022704,0.00042467353222210426,2020-09
94103,06075022802,5.308419152776303e-05,2020-09
94103,06075018000,0.051757086739568955,2020-09
94103,06075020300,0.018473298651661536,2020-09
94103,06075017700,0.04485614184095976,2020-09
94103,06075017801,0.0472449304597091,2020-09
94105,06075010500,0.0,2020-09
94107,06075018000,0.09642011983283823,2020-09
94107,06075022702,0.05825487135592367,2020-09
94107,06075022600,0.12426363224409646,2020-09
94107,06075022903,0.0,2020-09
94107,06075022802,5.0349932027591764e-05,2020-09
94107,06075022704,0.11812094053673028,2020-09
94107,06075010500,0.0,2020-09
94107,06075980900,0.019787523286843564,2020-09
94107,06075017801,0.08262423845727808,2020-09
94108,06075060100,0.0,2020-09
94108,06075011800,0.08853976373157958,2020-09
94108,06075011700,0.09328948970892705,2020-09
94108,06075011300,0.13250517598343686,2020-09
94108,06075010800,0.02533187187918646,2020-09
94108,06075012100,0.07148946535135793,2020-09
94108,06075011901,0.031177688466691025,2020-09
94108,06075011200,0.16429180367799293,2020-09
94108,06075011902,0.26793326026062597,2020-09
94109,06075015500,0.03124334114638824,2020-09
94109,06075015900,0.014569571702535691,2020-09
94109,06075012100,0.04336245471979544,2020-09
94109,06075012302,0.020748987854251014,2020-09
94109,06075015100,0.054069891327509056,2020-09
94109,06075013102,0.044960579586618366,2020-09
94109,06075013101,0.06797357766886852,2020-09
94109,06075012202,0.04520029831664181,2020-09
94109,06075010800,0.027141487321542722,2020-09
94109,06075011901,0.04338909013424249,2020-09
94109,06075012901,0.0077509056040912,2020-09
94109,06075011200,0.028686341359471554,2020-09
94109,06075012902,0.00034626038781163435,2020-09
94109,06075016000,0.020029831664180694,2020-09
94110,06075021100,0.0046075143137852765,2020-09
94110,06075020300,0.0013890300504793849,2020-09
94110,06075021500,0.029440661313819155,2020-09
94110,06075022901,0.05393502049666294,2020-09
94110,06075025403,0.03018599451163736,2020-09
94110,06075022801,0.06647016973269641,2020-09
94110,06075022903,0.039163871667174846,2020-09
94110,06075021400,0.0033201206084629196,2020-09
94110,06075020900,0.06440356404783684,2020-09
94110,06075025100,0.04773520344208422,2020-09
94110,06075021000,0.079411864349358,2020-09
94110,06075021800,0.0025409086289257038,2020-09
94110,06075022803,0.057356777450282885,2020-09
94110,06075022902,0.02801775248162076,2020-09
94110,06075025300,0.06365823085001864,2020-09
94110,06075025401,0.04675271877223295,2020-09
94110,06075025402,0.03750381136294339,2020-09
94110,06075022802,0.024663753091438832,2020-09
94110,06075025200,0.07666768303011824,2020-09
94110,06075017700,0.003794423552529051,2020-09
94112,06075026004,0.046488217799130635,2020-09
94112,06075026302,0.04593914436055822,2020-09
94112,06075031000,0.05220773278425989,2020-09
94112,06075031301,0.0010066346373827498,2020-09
94112,06075026301,0.053580416380690915,2020-09
94112,06075026001,0.0648364218714253,2020-09
94112,06075025600,0.03349347975291695,2020-09
94112,06075031100,0.03678792038435141,2020-09
94112,06075026002,0.03870967741935484,2020-09
94112,06075025403,0.02786547700754976,2020-09
94112,06075031302,0.0002745367192862045,2020-09
94112,06075026003,0.057835735529627084,2020-09
94112,06075031202,0.035964310226492796,2020-09
94112,06075026303,0.05239075726378403,2020-09
94112,06075980501,0.0008693662777396477,2020-09
94112,06075030900,0.0007778540379775795,2020-09
94112,06075026100,0.10446122168840083,2020-09
94112,06075031201,0.07462823152596659,2020-09
94114,06075021100,0.1061708434384263,2020-09
94114,06075020500,0.1050390730261385,2020-09
94114,06075030500,0.007006197790353005,2020-09
94114,06075016801,0.006090002694691458,2020-09
94114,06075016700,0.0010778765831312314,2020-09
94114,06075021400,0.06488817030450013,2020-09
94114,06075016900,0.09496092697386149,2020-09
94114,06075020401,0.0928590676367556,2020-09
94114,06075017000,0.09054163298302344,2020-09
94114,06075020300,0.08811641067097817,2020-09
94114,06075020402,0.03621665319320938,2020-09
94114,06075030102,0.00819186203179736,2020-09
94114,06075021200,0.08477499326327136,2020-09
94114,06075021300,0.06057666397197521,2020-09
94115,06075015900,0.1116041607023571,2020-09
94115,06075015300,0.05625536787861437,2020-09
94115,06075060100,0.000286286859433152,2020-09
94115,06075013500,0.09256608455005248,2020-09
94115,06075013300,0.01674778127683939,2020-09
94115,06075015802,0.05978623914495658,2020-09
94115,06075015801,0.0853611985876515,2020-09
94115,06075015500,0.0936158030346407,2020-09
94115,06075013200,0.09743296116041607,2020-09
94115,06075013102,0.0011928619143048,2020-09
94116,06075030301,0.0036126251742933197,2020-09
94116,06075032802,0.02414754721764482,2020-09
94116,06075030800,0.04867537076942578,2020-09
94116,06075030302,0.05609075928508049,2020-09
94116,06075060400,0.0003168969451134491,2020-09
94116,06075032901,0.13829382684750918,2020-09
94116,06075032801,0.08980859424515147,2020-09
94116,06075032902,0.02446444416275827,2020-09
94116,06075030102,0.0,2020-09
94116,06075030500,0.0,2020-09
