zip,tract,res_ratio
94108,6075011700,0.093776641091219
94108,6075011300,0.132505175983436
94108,6075060100,0.0
94108,6075011902,0.267933260260625
94108,6075012100,0.0714894653513579
94108,6075011800,0.0881744001948605
94108,6075061100,0.125076117403483
94108,6075011901,0.031177688466691
94108,6075010800,0.0253318718791864
94108,6075011200,0.164535379369138
94107,6075010500,0.0
94107,6075060700,0.140475239616613
94107,6075022802,4.99201277955271e-05
94107,6075022600,0.131888977635782
94107,6075022704,0.117661741214057
94107,6075980900,0.0180211661341853
94107,6075017801,0.08191892971246
94107,6075022702,0.0578075079872204
94107,6075061500,0.178614217252396
94107,6075022903,0.0
94107,6075061400,0.141373801916932
94107,6075017802,0.035892571884984
94107,6075018000,0.0962959265175718
94109,6075012100,0.0433405212576205
94109,6075015200,0.0305619891914916
94109,6075012401,0.0250246252961691
94109,6075013101,0.0679658174267231
94109,6075010800,0.027101136756915
94109,6075015100,0.0540425418630034
94109,6075012402,0.0247317839363203
94109,6075010200,0.0794398743444346
94109,6075012202,0.0451508133003221
94109,6075013102,0.0451774352421265
94109,6075012302,0.0208183584910683
94109,6075011000,0.0782152650214306
94109,6075010900,0.0752602294811383
94109,6075011901,0.0432340334904027
94109,6075011100,0.0893432366956845
94109,6075012902,0.000346085243457657
94109,6075011200,0.0286984532651811
94109,6075012000,0.0681787929611585
94109,6075012901,0.00774698506509064
94109,6075015900,0.014562202167026
94109,6075012201,0.0769374118148177
94109,6075013000,0.00290179165668343
94109,6075015500,0.0312275377366025
94109,6075016000,0.0199930782951308
94114,6075016700,0.00107319167203262
94114,6075021400,0.0647671174071689
94114,6075016900,0.0975531229877656
94114,6075020401,0.0925091221292122
94114,6075030102,0.00815625670744795
94114,6075020402,0.0360592401802962
94114,6075020300,0.087733419188667
94114,6075017000,0.0901481004507405
94114,6075020500,0.1052801030264
94114,6075021100,0.105709379695213
94114,6075021300,0.0603670315518351
94114,6075021200,0.0845138441725692
94114,6075020600,0.153090792015453
94114,6075016801,0.00606353294698433
94114,6075030500,0.00697574586821206
94133,6075061100,0.0336439632725777
94133,6075011300,0.0367959435384404
94133,6075010200,0.0084281211456763
94133,6075010600,0.142866931615732
94133,6075010400,0.183979717692202
94133,6075010900,0.00404275729751952
94133,6075010500,0.000274085240509798
94133,6075010800,0.102919007811429
94133,6075010100,0.179936960394682
94133,6075010300,0.160545429628614
94133,6075010700,0.146567082362614
94124,6075023003,0.0922291367480453
94124,6075023001,0.10116483165789
94124,6075025100,7.97829902664751e-05
94124,6075061200,0.0953406733684378
94124,6075980600,0.0536141694590713
94124,6075026402,0.0003191319610659
94124,6075061000,0.0662996649114408
94124,6075023103,0.121669060156374
94124,6075980900,0.00670177118238391
94124,6075023102,0.107308121908409
94124,6075025702,0.000718046912398276
94124,6075023200,0.152225945428434
94124,6075023400,0.0856869315461943
94124,6075023300,0.116642731769586
94124,6075010500,0.0
94102,6075012301,0.0665284674347972
94102,6075012401,0.0838837198090922
94102,6075016300,0.0474858988574458
94102,6075016802,0.109338089958058
94102,6075011700,0.0013980619968182
94102,6075012501,0.134021115557055
94102,6075012302,0.047678734994938
94102,6075061500,0.0
94102,6075016200,0.11493033794533
94102,6075016801,0.0427614134888878
94102,6075012100,0.0156197271368654
94102,6075012201,0.00226582461553295
94102,6075012402,0.134744251072651
94102,6075017601,0.0
94102,6075016000,0.0605987562069131
94102,6075016100,0.0267078050426649
94102,6075012502,0.112037795882948
94121,6075980200,0.00382672585335986
94121,6075042601,0.125006377876422
94121,6075047701,0.103372621052094
94121,6075047801,0.0884228787183019
94121,6075042602,0.0397469258635644
94121,6075042800,0.048114699729578
94121,6075980300,0.00229603551201591
94121,6075047702,0.0835246696260013
94121,6075047901,0.143323638961171
94121,6075047902,0.0796979437726414
94121,6075042700,0.13735394662993
94121,6075047600,0.0626052349609673
94121,6075047802,0.0827083014439512
94122,6075030101,0.0616559756920999
94122,6075035202,0.0776502363268062
94122,6075032700,0.0996370695476029
94122,6075030301,0.102675557056043
94122,6075030201,0.0809841323430114
94122,6075032602,0.0695476029709655
94122,6075032902,0.0359554355165428
94122,6075032802,0.0460415259959486
94122,6075030302,0.0211006076975016
94122,6075030202,0.104237002025658
94122,6075035201,0.0687457798784604
94122,6075032601,0.0900151924375422
94122,6075980300,0.00481093855503038
94122,6075035100,0.110313977042538
94122,6075030102,0.0266289669142471
94122,6075035300,0.0
94117,6075030102,0.0380669817962385
94117,6075016100,0.0125716584531831
94117,6075016802,0.00905159408629186
94117,6075016300,0.0573770491803278
94117,6075016400,0.101126420597405
94117,6075016801,0.0615005531529719
94117,6075980300,0.0101076133963592
