ZIP,TRACT,RES_RATIO
94108,6075011700,0.09410334346504559
94108,6075011300,0.13240121580547112
94108,6075060100,0.0
94108,6075011902,0.26759878419452887
94108,6075012100,0.07148936170212766
94108,6075011800,0.08814589665653495
94108,6075061100,0.12559270516717325
94108,6075011901,0.031124620060790274
94108,6075010800,0.0252887537993921
94108,6075011200,0.16425531914893618
94107,6075010500,0.0
94107,6075060700,0.14021717473600318
94107,6075022802,4.981071926678621e-05
94107,6075022600,0.1325961346881849
94107,6075022704,0.1174536760310819
94107,6075980900,0.017981669655309823
94107,6075017801,0.08173939031679617
94107,6075022702,0.057680812910938434
94107,6075061500,0.17832237497509465
94107,6075022903,0.0
94107,6075061400,0.1412133891213389
94107,6075017802,0.035913528591352856
94107,6075018000,0.0968320382546324
94109,6075012100,0.04331284752707053
94109,6075015200,0.030595684678213213
94109,6075012401,0.025008646606539495
94109,6075013101,0.06797562987203022
94109,6075010800,0.027110437119216752
94109,6075015100,0.05408784952244127
94109,6075012402,0.024715992231356586
94109,6075010200,0.07944236039056056
94109,6075012202,0.04512198366456487
94109,6075013102,0.04514858860776332
94109,6075012302,0.020805065581184983
94109,6075011000,0.07819192806023359
94109,6075010900,0.0752653843084045
94109,6075011901,0.043259637640673636
94109,6075011100,0.08941921408997792
94109,6075012902,0.00034586426157980153
94109,6075011200,0.02868012876792508
94109,6075012000,0.06821507436081624
94109,6075012901,0.007742038470747865
94109,6075015900,0.014552903929550111
94109,6075012201,0.07688828584350972
94109,6075013000,0.0028999388086306437
94109,6075015500,0.031207598371777476
94109,6075016000,0.020006917285231594
94114,6075016700,0.0010725585885128974
94114,6075021400,0.06472891081675336
94114,6075016900,0.09749557569582239
94114,6075020401,0.0925081782592374
94114,6075030102,0.00815144527269802
94114,6075020402,0.03603796857403336
94114,6075020300,0.08768166461092937
94114,6075017000,0.0900949214350834
94114,6075020500,0.10548613718024347
94114,6075021100,0.10570064889794605
94114,6075021300,0.06033142060385049
94114,6075021200,0.08457124470424197
94114,6075020600,0.1531077385102161
94114,6075016801,0.006059956025097871
94114,6075030500,0.006971630825333834
94124,6075023003,0.09211889393577177
94124,6075023001,0.10112359550561797
94124,6075025100,7.96876245119133e-05
94124,6075061200,0.09546577416527213
94124,6075980600,0.053550083672005734
94124,6075026402,0.0003187504980476532
94124,6075061000,0.06630010359391186
94124,6075023103,0.12152362738066778
94124,6075980900,0.0067734480835126305
94124,6075023102,0.10717985496852339
94124,6075025702,0.0007171886206072197
94124,6075023200,0.1522033628177544
94124,6075023400,0.0857438839748187
94124,6075023300,0.1169017451589768
94124,6075010500,0.0
94133,6075061100,0.033782397592833205
94133,6075011300,0.03672297066265472
94133,6075010200,0.008411406688094099
94133,6075010600,0.1433358407987417
94133,6075010400,0.18361485331327362
94133,6075010900,0.004034739793476031
94133,6075010500,0.0002735416809136292
94133,6075010800,0.10278328660329618
94133,6075010100,0.17958011351979758
94133,6075010300,0.16036381043561512
94133,6075010700,0.1470970389113041
94102,6075012301,0.06665702718334297
94102,6075012401,0.0840080971659919
94102,6075016300,0.04752265278581068
94102,6075016802,0.10935993830730673
94102,6075011700,0.0014459224985540775
94102,6075012501,0.13413341044919994
94102,6075012302,0.0478118372855215
94102,6075061500,0.0
94102,6075016200,0.11495083863504917
94102,6075016801,0.042606516290726815
94102,6075012100,0.015615962984384037
94102,6075012201,0.0022652785810680547
94102,6075012402,0.13403701561596298
94102,6075017601,0.0
94102,6075016000,0.060584152689415846
94102,6075016100,0.026701368806631966
94102,6075012502,0.11229998072103335
94121,6075980200,0.003826530612244898
94121,6075042601,0.1251530612244898
94121,6075047701,0.10331632653061225
